claimamt,vehage,CC,Length,Weight
81442.32,1,1298,4095,875
24000.0,5,796,3335,665
60000.0,6,1495,4250,1023
77270.4,1,1061,3520,825
68611.2,2,1086,3565,868
24000.0,4,796,3335,665
37584.0,5,1086,3565,854
91544.88,1,1150,3880,1075
80484.48,1,1405,3675,980
82489.716,1,1086,3565,854
75600.0,5,1595,4250,1023
84600.12,2,1405,4150,1070
31192.8,4,796,3335,665
46407.12,4,993,3495,875
67200.0,2,999,3565,854
67200.0,1,1061,3520,825
45360.0,4,1086,3565,868
69585.6,1,1086,3565,854
26364.0,6,796,3370,750
27216.0,6,999,3565,854
65718.0,2,1405,3675,980
62399.904,2,1405,3675,980
28800.0,6,1405,3675,980
38400.0,5,1405,3675,980
83952.0,3,1495,4250,1023
26400.0,7,999,3565,854
24000.0,7,993,3495,875
30000.012000000002,8,1298,4095,875
64787.76,1,1405,3675,980
59999.856,2,1061,3520,830
60000.0,4,1405,3675,980
36000.0,7,1086,3565,854
58320.0,1,796,3495,740
24000.0,7,796,3495,740
64799.952000000005,2,1061,3520,825
41136.0,6,1495,4250,1023
28080.0,6,796,3335,665
81360.0,1,1405,3675,980
60000.0,4,1298,4095,875
86400.0,1,1298,3695,980
44215.08,2,796,3370,750
27600.0,7,1405,3675,980
71472.072,1,1086,3565,854
58953.6,4,1405,4150,1070
42000.0,2,796,3335,665
48000.0,4,1299,4140,978
50400.0,1,796,3495,740
60000.047999999995,3,1061,3520,830
36000.0,7,1061,3520,825
67200.0,3,1405,3675,980
28080.0,9,999,3565,854
84000.0,2,1405,3675,980
62400.0,0,1086,3565,854
29999.784,6,1405,3675,980
72269.28,1,1086,3565,854
29743.2,8,999,3565,854
50841.12,4,993,3495,875
48000.0,5,1405,4150,1070
94217.28,1,2523,4260,1615
68705.292,0,1405,3675,980
65999.976,2,1405,3675,980
84000.0,6,2446,4425,1470
39312.0,3,796,3370,750
96267.3,0,1405,3675,980
38400.0,5,993,3495,875
84000.0,1,1405,3675,980
64799.952000000005,2,1405,3675,980
45314.4,1,796,3495,740
85200.0,1,1399,4310,1095
75600.0,4,1495,4250,1023
51360.0,1,796,3495,740
24840.0,5,796,3335,665
48133.44,4,1086,3565,854
35424.0,2,796,3335,665
27120.0,5,796,3370,750
61358.64,2,1061,3520,825
54480.0,3,1405,3675,980
82356.96,0,995,3495,840
33000.0,3,796,3495,740
48600.0,4,1086,3565,854
46872.0,4,1405,3675,980
39657.6,5,1086,3565,854
72564.0,1,1086,3565,854
56160.0,5,1405,4150,1070
32400.0,7,1405,3675,980
43200.0,3,796,3495,740
60000.0,2,1405,3675,980
36000.0,5,1242,3827,990
92093.76,1,1405,3675,980
48000.0,6,1343,4420,1100
82719.768,0,1405,3675,980
38400.0,5,1061,3520,825
46080.0,4,1800,4505,1820
33600.0,1,796,3335,665
31200.0,9,999,3565,854
86639.76,1,1489,4325,1140
84104.64,0,995,3495,840
86400.0,4,2600,4325,1980
62639.808,2,1405,3675,980
29999.784,11,993,3495,875
47999.952000000005,3,1086,3565,854
96160.8,1,1405,3675,980
66843.9,0,796,3495,740
92720.98800000001,0,1061,3520,830
55284.0,7,1800,4425,1470
50400.0,3,993,3495,875
33145.68,2,796,3335,665
36000.0,6,1061,3520,825
66860.4,1,796,3495,740
55230.84,2,1405,3675,980
44128.8,6,993,3495,875
45272.16,10,1497,4420,1100
78624.72,0,1405,3675,980
72000.0,1,1500,3675,980
70800.0,1,1086,3565,854
48000.096,3,1086,3565,854
73824.0,7,1468,4290,1080
53999.904,2,796,3495,740
59279.904,3,1527,3495,875
32400.0,6,1298,4095,875
30240.0,11,993,3495,875
47040.0,1,796,3495,725
86640.0,1,1299,4140,978
55176.0,1,796,3495,740
48600.0,7,2446,4425,1470
60144.0,2,1061,3520,825
74640.0,7,2446,4425,1470
79200.0,2,2523,4260,1615
31680.0,5,796,3370,750
44754.0,5,1061,3520,825
67224.0,3,1298,4095,875
40800.0,2,796,3370,750
72000.0,4,1086,3565,854
66662.73599999999,0,796,3495,740
69550.08,1,1500,3675,980
52272.0,3,1405,3675,980
81000.0,5,2609,4325,1880
92921.28,0,1396,3675,980
48600.0,3,1405,3675,980
68460.0,5,1495,4250,1023
48000.0,1,796,3370,750
76540.608,1,1086,3565,854
54000.0,3,1086,3565,854
62576.64,3,1086,3565,854
35952.0,4,1817,4325,1140
43200.024000000005,2,796,3495,740
83338.32,0,1086,3565,854
48603.84,3,1405,3675,980
39879.36,5,1086,3565,854
46800.0,9,1948,4505,1820
70800.0,5,2446,4425,1470
103676.16,0,1400,3695,1000
108000.0,4,1497,4420,1100
42636.0,2,796,3335,665
53705.52,2,1086,3565,854
66660.0,1,796,3495,740
101086.56,1,1150,3880,1075
61695.84,6,1493,4420,1100
72000.0,7,2446,4425,1470
24000.0,9,999,3565,854
40800.0,4,1405,3675,980
108000.0,5,1984,4507,1350
31200.0,5,796,3370,750
72576.0,5,2446,4425,1470
58320.0,5,1298,4095,875
70800.0,2,1405,3675,980
77760.0,4,2446,4425,1470
52904.4,6,998,3565,854
31200.12,2,796,3335,665
28800.0,9,993,3495,875
59234.64,4,1800,4425,1470
33600.0,5,1086,3565,854
84000.0,3,1948,4505,1820
62668.53599999999,0,1086,3565,854
90525.6,0,995,3495,840
58656.0,3,1086,3565,854
61872.0,2,796,3495,740
87495.0,0,1061,3520,830
46198.272000000004,1,796,3335,665
